date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_vehicles,cpi_shelter,gscpi,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_vehicles_yoy,cpi_shelter_yoy,gscpi_lag1,gscpi_lag3,gscpi_lag6,gscpi_lag12
2000-01-01,169.3,179.3,165.6,115.0,153.9,190.6,-0.6137752777684249,,,,,,,,,,
2000-02-01,170.0,179.4,166.2,118.8,153.0,190.9,-0.4467672594529421,,,,,,,-0.6137752777684249,,,
2000-03-01,171.0,180.0,166.5,124.3,153.0,191.6,-0.2948989858950364,,,,,,,-0.4467672594529421,,,
2000-04-01,170.9,180.3,166.7,120.9,154.0,191.9,0.10378834556119033,,,,,,,-0.2948989858950364,-0.6137752777684249,,
2000-05-01,171.2,180.7,167.3,120.0,155.4,192.4,0.27116489613961015,,,,,,,0.10378834556119033,-0.4467672594529421,,
2000-06-01,172.2,181.1,167.4,126.8,155.7,193.1,0.039665441336727704,,,,,,,0.27116489613961015,-0.2948989858950364,,
2000-07-01,172.7,181.5,168.3,127.3,155.3,193.6,-0.017899006704946773,,,,,,,0.039665441336727704,0.10378834556119033,-0.6137752777684249,
2000-08-01,172.7,181.9,168.7,123.8,155.2,194.1,0.08125842543351819,,,,,,,-0.017899006704946773,0.27116489613961015,-0.4467672594529421,
2000-09-01,173.6,182.3,168.9,129.2,156.2,194.7,0.040410570164300004,,,,,,,0.08125842543351819,0.039665441336727704,-0.2948989858950364,
2000-10-01,173.9,182.6,169.0,129.6,157.9,195.3,-0.5391248098406074,,,,,,,0.040410570164300004,-0.017899006704946773,0.10378834556119033,
2000-11-01,174.2,183.1,169.2,129.2,159.3,195.8,-0.760042653877631,,,,,,,-0.5391248098406074,0.08125842543351819,0.27116489613961015,
2000-12-01,174.6,183.3,170.0,130.1,160.2,196.1,-0.9471458911186098,,,,,,,-0.760042653877631,0.040410570164300004,0.039665441336727704,
2001-01-01,175.6,183.9,170.3,135.0,160.4,196.8,-0.9376886139469566,3.7212049616065945,2.5655326268823275,2.838164251207731,17.391304347826097,4.223521767381411,3.2528856243441817,-0.9471458911186098,-0.5391248098406074,-0.017899006704946773,-0.6137752777684249
2001-02-01,176.0,184.4,171.2,134.1,160.4,197.5,-0.7843328163401582,3.529411764705892,2.7870680044593144,3.0084235860409203,12.878787878787868,4.8366013071895475,3.457307490832884,-0.9376886139469566,-0.760042653877631,0.08125842543351819,-0.4467672594529421
2001-03-01,176.1,184.7,171.7,131.7,159.9,198.3,-0.6060851458422107,2.9824561403508643,2.6111111111110974,3.123123123123106,5.953338696701516,4.509803921568634,3.4968684759916657,-0.7843328163401582,-0.9471458911186098,0.040410570164300004,-0.2948989858950364
2001-04-01,176.4,185.1,172.1,132.3,159.7,198.8,-1.0188621656986596,3.2182562902282053,2.66222961730449,3.2393521295740912,9.429280397022332,3.701298701298694,3.595622720166758,-0.6060851458422107,-0.9376886139469566,-0.5391248098406074,0.10378834556119033
2001-05-01,177.3,185.3,172.4,138.4,159.1,199.6,-1.1382652953961152,3.5630841121495394,2.54565578306587,3.048416019127309,15.333333333333332,2.3809523809523725,3.7422037422037313,-1.0188621656986596,-0.7843328163401582,-0.760042653877631,0.27116489613961015
2001-06-01,177.7,186.0,173.1,136.9,158.9,200.5,-0.7156443270085076,3.193960511033689,2.705687465488693,3.4050179211469356,7.965299684542604,2.055234425176633,3.8322112894873195,-1.1382652953961152,-0.6060851458422107,-0.9471458911186098,0.039665441336727704
2001-07-01,177.4,186.4,173.6,129.6,158.3,200.9,-0.8707576182665925,2.7214823393167498,2.6997245179063434,3.149138443256083,1.806755695208162,1.931745009658714,3.7706611570248016,-0.7156443270085076,-1.0188621656986596,-0.9376886139469566,-0.017899006704946773
2001-08-01,177.4,186.7,174.0,127.3,158.0,201.8,-0.8207076337976564,2.7214823393167498,2.638812534359536,3.141671606401908,2.8271405492730217,1.804123711340222,3.967027305512638,-0.8707576182665925,-1.1382652953961152,-0.7843328163401582,0.08125842543351819
2001-09-01,178.1,187.1,174.2,130.9,157.3,202.0,-0.7116098475617266,2.5921658986175045,2.6330224904004274,3.1379514505624595,1.3157894736842257,0.7042253521126973,3.749357986646129,-0.8207076337976564,-0.7156443270085076,-0.6060851458422107,0.040410570164300004
2001-10-01,177.6,187.4,174.8,122.9,157.8,202.5,-1.2329363417605332,2.127659574468077,2.6286966046002336,3.4319526627218933,-5.169753086419748,-0.06333122229258414,3.686635944700445,-0.7116098475617266,-0.8707576182665925,-1.0188621656986596,-0.5391248098406074
2001-11-01,177.5,188.1,174.9,116.9,157.4,203.5,-1.4584731528903323,1.894374282433997,2.730748225013646,3.3687943262411535,-9.520123839009276,-1.1927181418706856,3.93258426966292,-1.2329363417605332,-0.8207076337976564,-1.1382652953961152,-0.760042653877631
2001-12-01,177.4,188.4,174.7,113.9,157.2,204.3,-1.2087046438019096,1.603665521191311,2.782324058919805,2.764705882352936,-12.451960030745568,-1.8726591760299671,4.181540030596653,-1.4584731528903323,-0.7116098475617266,-0.7156443270085076,-0.9471458911186098
2002-01-01,177.7,188.7,175.3,114.2,155.6,205.1,-0.955275167326431,1.1958997722095743,2.610114192495905,2.9359953024075125,-15.407407407407403,-2.9925187032418976,4.217479674796731,-1.2087046438019096,-1.2329363417605332,-0.8707576182665925,-0.9376886139469566
